pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000018,LRN,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-10-27T00:00:00+00:00,2021-10-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000019,AAON,0,2,0,0.000000,0.000000,-1.000000,2.000000,2024-05-22T00:00:00+00:00,2025-03-18T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000019,ACMR,0,4,0,0.750000,7.500000,1.625000,1.000000,2023-11-15T00:00:00+00:00,2025-08-21T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000019,FUBO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2025-12-08T00:00:00+00:00,2025-12-08T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000019,IOVA,0,3,0,0.666667,2.084200,0.361400,1.000000,2021-12-01T00:00:00+00:00,2025-01-29T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000019,MNDY,0,1,0,1.000000,2.500000,2.500000,0.000000,2025-01-10T00:00:00+00:00,2025-01-10T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000020,AAON,0,1,0,1.000000,2.500000,2.500000,0.000000,2026-04-28T00:00:00+00:00,2026-04-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000020,ACMR,0,3,0,1.000000,7.500000,2.500000,0.000000,2023-01-17T00:00:00+00:00,2023-06-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000020,ARWR,0,1,0,0.000000,0.000000,-0.099900,0.099900,2022-07-21T00:00:00+00:00,2022-07-21T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000020,CARG,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-01-25T00:00:00+00:00,2023-01-25T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000020,CRDO,0,2,0,1.000000,5.000000,2.500000,0.000000,2024-10-23T00:00:00+00:00,2025-05-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000020,CROX,0,3,0,0.000000,0.000000,-1.000000,3.000000,2022-07-21T00:00:00+00:00,2023-01-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,AAON,0,2,0,1.000000,5.000000,2.500000,0.000000,2026-02-04T00:00:00+00:00,2026-05-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,ACMR,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-08-16T00:00:00+00:00,2021-08-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,ARWR,0,1,0,0.000000,0.000000,-0.677300,0.677300,2022-07-29T00:00:00+00:00,2022-07-29T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,DLO,0,1,0,0.000000,0.000000,-0.412500,0.412500,2023-09-21T00:00:00+00:00,2023-09-21T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,ENPH,0,2,0,0.000000,0.000000,-1.000000,2.000000,2024-01-09T00:00:00+00:00,2026-02-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,FN,0,1,0,0.000000,0.000000,-1.000000,1.000000,2026-04-15T00:00:00+00:00,2026-04-15T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,FRPT,0,1,0,0.000000,0.000000,-1.000000,1.000000,2026-05-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,FUBO,0,1,0,1.000000,2.500000,2.500000,0.000000,2025-07-18T00:00:00+00:00,2025-07-18T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000021,MNDY,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-12-07T00:00:00+00:00,2023-12-07T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000022,AAON,0,6,0,0.500000,1.494400,0.247200,3.000000,2021-08-16T00:00:00+00:00,2021-11-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000022,CALM,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-09T00:00:00+00:00,2021-12-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000022,INSP,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-09-01T00:00:00+00:00,2021-09-07T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000022,LRN,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-09-10T00:00:00+00:00,2021-09-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000023,CALM,0,3,0,0.000000,0.000000,-1.000000,3.000000,2022-11-09T00:00:00+00:00,2025-11-11T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000023,CRDO,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-01-18T00:00:00+00:00,2023-01-18T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000023,CROX,0,3,0,1.000000,7.500000,2.500000,0.000000,2021-07-21T00:00:00+00:00,2022-12-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
